           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,       LQWSSOL4,       FZWSSOL4,       ALWSSOL4,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           2000,            245,   5.667109    ,   1.650890    ,   1.505325    ,  0.2279867    ,  0.1644117    ,   1.112927    ,   1.994507    ,   5.667109    ,   1.650890    ,   1.505325    ,  0.2279867    ,  0.1644117    ,   1.112927    ,  0.5804871E-01,  0.3665797    ,  0.6670061E-01,  0.1882260E-02,  0.7028987E-01,   28.70235    ,  0.6860229E-03,   28.70304    ,   70.73122    ,  0.9224991E-04,   70.73133    ,   215.6885    ,   0.000000    ,   215.6885    ,   876.2690    ,   0.000000    ,   876.2690    ,   1191.391    ,  0.7782727E-03,   1191.392    ,   3.540726    ,   0.000000    ,   1195.496    ,   1.994507    ,
           2000,            246,   8.260339    ,   2.788797    ,   5.596987    ,  0.4491856    ,  0.2612712    ,   4.886531    ,   1.468384    ,   2.593229    ,   1.137906    ,   4.091661    ,  0.2211989    ,  0.9685951E-01,   3.773603    ,  0.5049952E-01,  0.3157040    ,  0.7910053E-01,  0.1967797E-02,  0.1537508    ,   27.84595    ,  0.9918548E-02,   27.85586    ,   68.84438    ,  0.1041883E-03,   68.84450    ,   209.8583    ,   0.000000    ,   209.8583    ,   879.8225    ,   0.000000    ,   879.8225    ,   1186.371    ,  0.1002274E-01,   1186.381    ,   7.461798    ,   0.000000    ,   1194.444    ,  -1.052246    ,
           2000,            247,   10.79755    ,   3.967414    ,   10.36086    ,  0.6735242    ,  0.3425829    ,   9.344748    ,  0.3685303    ,   2.537212    ,   1.178617    ,   4.763869    ,  0.2243385    ,  0.8131164E-01,   4.458219    ,  0.1111623E-01,  0.3661439    ,  0.6210028E-01,  0.1296497E-02,  0.2258836    ,   27.38838    ,  0.2300153E-02,   27.39068    ,   68.15832    ,  0.3558986E-04,   68.15836    ,   206.3841    ,   0.000000    ,   206.3841    ,   880.3037    ,   0.000000    ,   880.3037    ,   1182.234    ,  0.2335743E-02,   1182.237    ,   8.768023    ,   0.000000    ,   1191.672    ,  -2.772461    ,
           2000,            248,   11.92485    ,   5.336424    ,   14.97631    ,  0.9107229    ,  0.4096838    ,   13.65590    ,  -1.168579    ,   1.127301    ,   1.369011    ,   4.615454    ,  0.2371988    ,  0.6710093E-01,   4.311154    ,  0.2185619E-01,  0.2996283    ,  0.8055063E-01,  0.1288252E-02,  0.2694815    ,   26.91788    ,  0.1900681E-03,   26.91807    ,   67.29025    ,   0.000000    ,   67.29025    ,   203.8879    ,   0.000000    ,   203.8879    ,   879.6995    ,   0.000000    ,   879.6995    ,   1177.796    ,  0.1900681E-03,   1177.796    ,   9.252702    ,   0.000000    ,   1187.721    ,  -3.950195    ,
           2000,            249,   13.77583    ,   6.988158    ,   19.36441    ,   1.238315    ,  0.4686995    ,   17.65738    ,  -2.961060    ,   1.850979    ,   1.651733    ,   4.388092    ,  0.3275921    ,  0.5901560E-01,   4.001484    ,  0.1317640E-01,  0.2227357    ,  0.6712374E-01,  0.9776250E-03,  0.2541765    ,   26.50258    ,  0.5664080E-04,   26.50264    ,   66.50207    ,  0.9051413E-06,   66.50207    ,   201.7480    ,   0.000000    ,   201.7480    ,   878.5869    ,   0.000000    ,   878.5869    ,   1173.340    ,  0.5754594E-04,   1173.340    ,   9.471785    ,   0.000000    ,   1183.370    ,  -4.351807    ,
           2000,            250,   14.15913    ,   8.726346    ,   23.55095    ,   1.691283    ,  0.5200491    ,   21.33960    ,  -4.910034    ,  0.3833006    ,   1.738189    ,   4.186536    ,  0.4529673    ,  0.5134958E-01,   3.682219    ,  0.1497085E-01,  0.1272278    ,  0.5102683E-01,  0.5661318E-03,  0.2525985    ,   25.86963    ,  0.1558500E-03,   25.86978    ,   65.78017    ,   0.000000    ,   65.78017    ,   199.9779    ,   0.000000    ,   199.9779    ,   877.1913    ,   0.000000    ,   877.1913    ,   1168.819    ,  0.1558500E-03,   1168.819    ,   9.580869    ,   0.000000    ,   1178.847    ,  -4.522949    ,
           2000,            251,   20.47677    ,   10.34921    ,   27.31665    ,   2.011187    ,  0.5766727    ,   24.72876    ,  -6.741089    ,   6.317636    ,   1.622869    ,   3.765695    ,  0.3199038    ,  0.5662358E-01,   3.389168    ,  0.4270980E-02,  0.2436650    ,  0.4534912E-01,  0.4243328E-03,  0.2099955    ,   26.08792    ,  0.1219933E-02,   26.08913    ,   65.44007    ,   0.000000    ,   65.44007    ,   198.4787    ,   0.000000    ,   198.4787    ,   875.6248    ,   0.000000    ,   875.6248    ,   1165.632    ,  0.1219933E-02,   1165.633    ,   9.634539    ,   0.000000    ,   1175.771    ,  -3.075928    ,
           2000,            252,   26.68775    ,   12.13334    ,   30.74128    ,   2.221884    ,  0.6595845    ,   27.85979    ,  -7.703979    ,   6.210984    ,   1.784125    ,   3.424632    ,  0.2106970    ,  0.8291186E-01,   3.131023    ,  0.6248802E-01,  0.3818401    ,  0.2105387    ,  0.3036169E-02,  0.4940157    ,   27.67452    ,  0.6547570E-03,   27.67518    ,   67.70191    ,   0.000000    ,   67.70191    ,   198.7319    ,   0.000000    ,   198.7319    ,   874.1396    ,   0.000000    ,   874.1396    ,   1168.248    ,  0.6547570E-03,   1168.249    ,   9.657489    ,   0.000000    ,   1179.058    ,   3.287476    ,
           2000,            253,   35.00798    ,   13.89869    ,   33.90734    ,   2.383127    ,  0.7437116    ,   30.78047    ,  -8.374756    ,   8.320220    ,   1.765354    ,   3.166063    ,  0.1612431    ,  0.8412713E-01,   2.920693    ,  0.8546572E-01,  0.3938247    ,  0.3460371    ,  0.5229859E-02,  0.5622995    ,   27.70176    ,  0.2624188E-02,   27.70438    ,   68.22126    ,   0.000000    ,   68.22126    ,   199.6380    ,   0.000000    ,   199.6380    ,   873.1345    ,   0.000000    ,   873.1345    ,   1168.695    ,  0.2624188E-02,   1168.698    ,   9.675581    ,   0.000000    ,   1179.767    ,  0.7086182    ,
           2000,            254,   36.63100    ,   15.31149    ,   36.93927    ,   2.574112    ,  0.8204415    ,   33.54469    ,  -8.784302    ,   1.623024    ,   1.412799    ,   3.031936    ,  0.1909851    ,  0.7672995E-01,   2.764221    ,  0.1387771    ,  0.2279540    ,  0.4912588    ,  0.8079919E-02,  0.6262024    ,   27.50525    ,  0.8818402E-02,   27.51407    ,   68.41970    ,  0.3857503E-04,   68.41973    ,   201.1567    ,   0.000000    ,   201.1567    ,   872.7382    ,   0.000000    ,   872.7382    ,   1169.820    ,  0.8856977E-02,   1169.829    ,   9.707363    ,   0.000000    ,   1181.028    ,   1.261597    ,
           2000,            255,   39.64119    ,   16.46830    ,   39.88420    ,   2.801944    ,  0.8799068    ,   36.20232    ,  -9.334473    ,   3.010176    ,   1.156811    ,   2.944932    ,  0.2278322    ,  0.5946533E-01,   2.657635    ,  0.5745606E-01,  0.1898314    ,  0.4559171    ,  0.3000101E-02,  0.5811433    ,   26.89965    ,  0.1596651E-01,   26.91562    ,   67.29665    ,  0.6542019E-06,   67.29665    ,   200.7835    ,   0.000000    ,   200.7835    ,   872.6236    ,   0.000000    ,   872.6236    ,   1167.603    ,  0.1596716E-01,   1167.619    ,   9.759103    ,   0.000000    ,   1178.666    ,  -2.362793    ,
           2000,            256,   40.25417    ,   17.87144    ,   42.79645    ,   3.089389    ,  0.9334546    ,   38.77358    ,  -9.949097    ,  0.6129779    ,   1.403143    ,   2.912248    ,  0.2874450    ,  0.5354783E-01,   2.571255    ,  0.1321431E-01,  0.1633324    ,  0.3677412    ,  0.4064960E-02,  0.6128847    ,   26.33153    ,  0.7083730E-03,   26.33224    ,   66.85046    ,   0.000000    ,   66.85046    ,   200.2896    ,   0.000000    ,   200.2896    ,   872.3472    ,   0.000000    ,   872.3472    ,   1165.819    ,  0.7083730E-03,   1165.820    ,   9.809299    ,   0.000000    ,   1176.790    ,  -1.875366    ,
